
Gurobi 9.1.2 (win64, Java) logging started Sun Dec 19 01:55:11 2021

Academic license - for non-commercial use only - expires 2022-09-02
Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 5513150 rows, 1500 columns and 16540500 nonzeros
Model fingerprint: 0x56bc56f8
Variable types: 0 continuous, 1500 integer (1500 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 13.0000000
Presolve removed 0 rows and 0 columns (presolve time = 7s) ...
Presolve removed 0 rows and 0 columns (presolve time = 20s) ...
Presolve removed 0 rows and 0 columns (presolve time = 30s) ...
Presolve time: 29.98s
Presolved: 5513150 rows, 1500 columns, 16540500 nonzeros
Variable types: 0 continuous, 1500 integer (1500 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   60550    8.1532682e+01   0.000000e+00   7.951852e+03    595s
   61306    8.1470336e+01   0.000000e+00   3.935288e+05    600s
   62062    8.1440465e+01   0.000000e+00   1.131674e+04    606s
   62494    8.1396219e+01   0.000000e+00   1.904382e+04    611s
   63142    8.1338646e+01   0.000000e+00   3.695183e+05    615s
   63898    8.1291452e+01   0.000000e+00   1.653193e+04    621s
   64330    8.1249422e+01   0.000000e+00   1.099048e+04    626s
   64762    8.1215071e+01   0.000000e+00   2.192825e+06    630s
   65626    8.1135251e+01   0.000000e+00   2.443044e+04    636s
   66058    8.1081019e+01   0.000000e+00   4.002122e+04    640s
   66382    8.1065321e+01   0.000000e+00   6.502065e+05    646s
   67030    8.1022914e+01   0.000000e+00   4.905296e+06    651s
   67678    8.0923565e+01   0.000000e+00   8.382046e+03    656s
   68110    8.0867869e+01   0.000000e+00   4.207922e+04    661s
   68326    8.0852201e+01   0.000000e+00   8.915121e+03    665s
   68866    8.0805025e+01   0.000000e+00   2.511397e+04    671s
   69406    8.0749502e+01   0.000000e+00   1.143394e+05    676s
   69730    8.0725285e+01   0.000000e+00   1.933310e+05    680s
   70270    8.0670961e+01   0.000000e+00   1.875595e+05    686s
   70486    8.0651805e+01   0.000000e+00   8.684479e+04    690s
   70810    8.0602313e+01   0.000000e+00   6.220745e+04    695s
   71242    8.0542929e+01   0.000000e+00   4.644220e+04    702s
   71566    8.0510427e+01   0.000000e+00   1.554684e+04    706s
   71890    8.0485815e+01   0.000000e+00   3.591907e+05    711s
   72322    8.0455737e+01   0.000000e+00   4.091528e+04    716s
   72862    8.0428018e+01   0.000000e+00   6.088597e+05    721s
   73186    8.0404785e+01   0.000000e+00   2.742309e+03    727s
   73618    8.0374247e+01   0.000000e+00   3.429465e+04    731s
   74050    8.0345475e+01   0.000000e+00   6.013791e+03    736s
   74591    8.0324822e+01   0.000000e+00   2.239841e+03    740s
   75347    8.0260014e+01   0.000000e+00   1.617499e+03    746s
   75575    8.0250000e+01   4.368750e-01   0.000000e+00    753s
   75601    8.0250000e+01   0.000000e+00   0.000000e+00    755s
   75601    8.0250000e+01   0.000000e+00   0.000000e+00    759s

Root relaxation: objective 8.025000e+01, 75601 iterations, 721.94 seconds
Total elapsed time = 819.07s
Total elapsed time = 833.11s

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0   80.25000    0  301   13.00000   80.25000   517%     -  846s
H    0     0                      17.0000000   80.25000   372%     -  848s
H    0     0                      30.0000000   80.25000   167%     -  851s
H    0     0                      32.0000000   80.25000   151%     -  857s
     0     0          -    0        32.00000   80.25000   151%     - 1800s

Cutting planes:
  Gomory: 1
  MIR: 76
  Zero half: 1130
  RLT: 309
  BQP: 126

Explored 1 nodes (82567 simplex iterations) in 1801.15 seconds
Thread count was 8 (of 8 available processors)

Solution count 4: 32 30 17 13 

Time limit reached
Best objective 3.200000000000e+01, best bound 8.000000000000e+01, gap 150.0000%
