
Gurobi 9.1.2 (win64, Java) logging started Sun Dec 19 00:54:36 2021

Academic license - for non-commercial use only - expires 2022-09-02
Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 6355125 rows, 2500 columns and 19067500 nonzeros
Model fingerprint: 0xa749d85d
Variable types: 0 continuous, 2500 integer (2500 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 9.0000000
Presolve removed 0 rows and 0 columns (presolve time = 8s) ...
Presolve removed 0 rows and 0 columns (presolve time = 10s) ...
Presolve removed 0 rows and 0 columns (presolve time = 23s) ...
Presolve removed 0 rows and 0 columns (presolve time = 36s) ...
Presolve time: 35.77s
Presolved: 6355125 rows, 2500 columns, 19067500 nonzeros
Variable types: 0 continuous, 2500 integer (2500 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   68926    6.6160112e+01   0.000000e+00   6.627446e+03    610s
   69640    6.6101251e+01   0.000000e+00   1.033700e+04    615s
   70354    6.6046716e+01   0.000000e+00   6.449434e+03    620s
   70966    6.5990756e+01   0.000000e+00   6.997412e+04    625s
   71578    6.5975504e+01   0.000000e+00   7.395456e+03    630s
   72292    6.5937157e+01   0.000000e+00   3.171308e+03    635s
   72904    6.5915243e+01   0.000000e+00   4.740713e+06    641s
   73516    6.5898529e+01   0.000000e+00   1.568362e+03    646s
   74128    6.5872964e+01   0.000000e+00   2.364925e+06    651s
   74740    6.5815276e+01   0.000000e+00   1.283975e+04    656s
   75250    6.5804377e+01   0.000000e+00   5.836726e+04    660s
   75862    6.5771926e+01   0.000000e+00   1.310698e+06    665s
   76576    6.5740698e+01   0.000000e+00   6.606260e+05    671s
   76809    6.5750000e+01   0.000000e+00   0.000000e+00    674s
   76809    6.5750000e+01   0.000000e+00   0.000000e+00    678s

Root relaxation: objective 6.575000e+01, 76809 iterations, 633.48 seconds
Total elapsed time = 710.86s

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0   65.75000    0  252    9.00000   65.75000   631%     -  729s
H    0     0                      27.0000000   65.75000   144%     -  732s
H    0     0                      28.0000000   65.75000   135%     -  736s
     0     0   63.08380    0  398   28.00000   63.08380   125%     - 1465s
     0     0   63.04854    0  393   28.00000   63.04854   125%     - 1507s
     0     0   63.04021    0  399   28.00000   63.04021   125%     - 1539s
     0     0   63.04021    0  400   28.00000   63.04021   125%     - 1550s
     0     0          -    0        28.00000   63.04021   125%     - 1800s

Cutting planes:
  Gomory: 20
  MIR: 67
  StrongCG: 1
  Zero half: 682
  RLT: 318
  BQP: 214

Explored 1 nodes (95643 simplex iterations) in 1801.42 seconds
Thread count was 8 (of 8 available processors)

Solution count 3: 28 27 9 

Time limit reached
Best objective 2.800000000000e+01, best bound 6.300000000000e+01, gap 125.0000%
